Entity,similarity_to_turkey,e_coli_ARM_percent,s_aureus_ARM_percent,am_consumption_rate,avg_predicted_resistance_2025
Cyprus,0.6281172742269742,41.03,42.94,34.136124,37.682
Italy,0.6083740888210075,24.6,30.88,24.36847,26.246
Croatia,0.3282820743775812,18.18,66.67,19.899818,35.388
Greece,0.3209190849380268,21.93,43.18,18.545908,49.886
Poland,0.23797454554430264,18.83,16.52,24.453047,31.326
Latvia,0.20090333581933909,18.91,4.55,15.598323,24.916
Malta,0.11474834639357395,13.04,20.39,25.241282,4.775
Czechia,-0.11934597239210132,14.31,9.43,17.75234,17.768
Slovenia,-0.23722125245752598,10.68,6.74,12.671525,6.312
Ireland,-0.2425350603660687,9.81,10.96,23.338509,2.622
France,-0.25746555770623797,8.92,11.0,25.253601,2.836
Germany,-0.26016734983718215,8.96,4.91,10.49621,2.8280000000000003
Romania,-0.26612570984503536,10.68,6.74,28.673923,38.646
Lithuania,-0.30699541480090625,13.29,8.98,19.556143,24.02
Luxembourg,-0.3130997354787363,11.34,5.53,18.545908,4.5325
Bulgaria,-0.3169229821640431,10.68,6.74,18.545908,47.808
Austria,-0.31902559037965367,8.16,3.12,11.180478,2.028
Iceland,-0.33849513680998927,10.68,6.74,18.545908,3.75
Sweden,-0.3419369690578173,6.99,1.97,9.67051,2.2920000000000003
Spain,-0.3448021255607065,10.68,6.74,24.220617,11.504
Estonia,-0.37760054810529947,7.86,2.27,12.924988,1.4775
United Kingdom,-0.4071653303961673,10.68,6.74,19.645208,5.824
Finland,-0.4311739414395816,6.32,2.31,12.172713,1.8719999999999999
Hungary,-0.4717513344426042,10.68,6.74,14.6771145,17.97
Norway,-0.47640561578806495,5.13,0.94,11.944084,1.752
Denmark,-0.5305354768123505,6.31,1.55,15.294658,1.9560000000000002
Belgium,-0.5517443459220333,8.33,4.2,20.792952,5.246
Slovakia,-0.5628664248117224,10.68,6.74,18.545908,26.345999999999997
Netherlands,-0.5943840958184892,6.69,1.61,18.545908,2.852
Portugal,-0.6939715295849869,10.68,6.74,18.287363,11.684000000000001
